ID,Quote,Author,Source,Rating,Tags,Source Type,Notes,Date Added
Q001,Perserverence and spirit have done wonders in all ages.,George Washington,1776,3,Perserverence,,,2016-01-01
Q002,"Washington was not a brilliant strategist or tactician, not a gifted orator, not an intellectual. At several crucial moments he had shown marked indecisiveness. He had made serious mistakes in judgment. But experience had been his great teacher from boydhood, and in this his greatest test, he learned steadily from experience. Above all, Washington never forgot what was at stake and he never gave up.",David McCullough,1776,5,Experience,,,2016-01-01
Q003,"On Washington: There was no hint of arrogance. Amiable, modest, and dignified were words frequently used to describe him, and there was a softness in his eyes that people remembered. Yet he had a certain distance in manner that set him off from, or above, others. He had learned to comport himself with perfect manners and polish.",David McCullough,1776,5,Humility,,,2016-01-01
Q004,"We want great men who, when fortune frowns, will not be discouraged.",Colonel Henry Knox,1776,4,Adversity,,,2016-01-01
Q005,"10 powerful phrases for positive people:
 1. I'm wrong. 
 2. I'm sorry.
 3. You can do it.
 4. I believe in you.
 5. I'm proud of you.
 6. Thank you.
 7. I need you.
 8. I trust you.
 9. I respect you.
 10. I love you.",Rich DeVos,10 Powerful Phrases for Positive People,4,Optimism,,,2016-01-01
Q006,The secret to running faster is to run farther.,Matt Fitzgerald,80/20 Running,,Running,,,2016-01-01
Q010,"Ralph Roberts to the Board of Directors: 'You want me to criticize Mr. Gallagher, but I'm not going to do it. The franchise is not as important to me as this young man.",William Novak,An Incredible Dream - Comcast,,Forgiveness,,,2016-01-01
Q011,"When one of the nicest people on the planet is also a very tough businessman, that's a rare and effective combination.",William Novak,An Incredible Dream - Comcast,4,Business,,,2016-01-01
Q012,"Even when Ralph was angry, he never raised his voice. And in the rare cases when he did show anger, it seemed more like disappointment.",William Novak,An Incredible Dream - Comcast,4,Anger,,,2016-01-01
Q013,"When Ralph greets you in the middle of a food court or a crowded convention, he gives you his full attention, without ever looking around to see who else is in the room. He really listens to what you're saying. You can see it in his eye contact and in his gestures, and you can tell it comes from his heart.",William Novak,An Incredible Dream - Comcast,5,Conversation,,,2016-01-01
Q014,"Ralph promised himself that if he were ever in a leadership position, he would remember how wonderful it feels when the boss knows who you are.",William Novak,An Incredible Dream - Comcast,5,Leadership,,,2016-01-01
Q015,"Ralph Roberts didn't view leadership as being all that complicated, and when it was, he made it look easy. He ran Comcast from various places within himself--his head, his heart, his gut, and especially his personality, which was relaxed, collaborative, and generous on the surface, with a tough and more aggressive layer hidden underneath.",William Novak,An Incredible Dream - Comcast,5,Leadership,,,2016-01-01
Q016,"It's a paradox that often points to success, and also to leadership--the man with superb social skills who enjoys and appreciates his fellow human beings, but does not need them to be self-sufficient.",William Novak,An Incredible Dream - Comcast,5,Independence,,,2016-01-01
Q017,"The strong calm man is always loved and revered. That exquisite poise of character which we call serenity is the fruitage of the soul. It is precious as wisdom, more to be desired than gold--yea, than even fine gold.",James Allen,As A Man Thinketh,4,Poise,,,2016-01-01
Q018,Calmness of mind is one of the beautiful jewels of wisdom.,James Allen,As A Man Thinketh,5,Wisdom,,,2016-01-01
Q019,The greatest achievement was at first and for a time a dream. The oak sleeps in the acorn; the bird waits in the egg; and in the highest vision of the soul a waking angel stirs. Dreams are the seedlings of realities.,James Allen,As A Man Thinketh,4,Achievement,,,2016-01-01
Q020,"There can be no progress, no achievement without sacrifice.",James Allen,As A Man Thinketh,3,Sacrifice,,,2016-01-01
Q021,He who has conquered doubt and fear has conquered failure.,James Allen,As A Man Thinketh,4,Failure,,,2016-01-01
Q022,"Having conceived of his purpose, a man should mentally mark out a straight pathway to its achievement, looking neither to the right nor to the left. Doubts and fears should be rigorously excluded; they are disintegrating elements which break up the straight line of effort, rendering it crooked, ineffectual, useless.",James Allen,As A Man Thinketh,3,Fear,,,2016-01-01
Q023,"Men are anxious to improve their circumstances, but are unwilling to improve themselves.",James Allen,As A Man Thinketh,3,Self-improvement,,,2016-01-01
Q024,"When a man earnestly applies himself to remedy the defects in his character, and makes swift and marked progress, he passes rapidly through a succession of vicissitudes.",James Allen,As A Man Thinketh,5,Character,,,2016-01-01
Q025,"Thought and character are one, and as character can only manifest and discover itself through environment and circumstance, the outer conditions of a person's life will always be found to be harmoniously related to his inner state.",James Allen,As A Man Thinketh,4,Character,,,2016-01-01
Q026,"A noble and Godlike character is not a thing of favor or chance, but is the natural result of continued effort in right thinking, the effect of long-cherished association with Godlike thoughts.",James Allen,As A Man Thinketh,4,Character,,,2016-01-01
Q027,"I grew convinced that truth, sincerity, and integrity in dealings between man and man were of the utmost importance to the felicity of lifeâ€¦Revelation had, indeed, no weight with me as such; but I entertained an opinion that, though certain actions might not be bad because they were forbidden by it, or good because it commanded them, yet probably those actions might be forbidden because they were bad for us, or commanded because they were beneficial to us, in their own natures.",Benjamin Franklin,Autobiography of Benjamin Franklin,5,Truth,,,2016-01-01
Q028,"I cannot boast of much success in acquiring the reality of humility, but I had a good deal with regard to the appearance of it. I made it a rule to forbear all direct contradiction to the sentiments of others, and all positive assertion of my own. I soon found the advantage of this change in my manner; the conversations I engaged in went on more pleasantly.",Benjamin Franklin,Autobiography of Benjamin Franklin,5,Communication,,,2016-01-01
Q029,"It was about this time I conceived the bold an arduous project of arriving at moral perfection. I wished to live without committing any fault at any time; I would conquer all that either natural inclination, custom, or company might lead me into.",Benjamin Franklin,Autobiography of Benjamin Franklin,4,Perfection,,,2016-01-01
Q030,"Influence upon the private character, late in life, is not only an influence late in life, but a weak influence. It is in youth that we plant our chief habits and prejudices.",Benjamin Franklin,Autobiography of Benjamin Franklin,5,Habits,,,2016-01-01
Q031,"The more men have to lose, the less willing are they to venture. The rich are in general slaves to fear.",Thomas Paine,Common Sense,4,Money,,,2016-01-01
Q032,"Of more worth is one honest man to society and in the sight of God, than all the crowned ruffians that ever lived.",Thomas Paine,Common Sense,4,Integrity,,,2016-01-01
Q033,"Well, when one has no one, nowhere else one can go! Do you understand, sir, do you understand what it means when you have absolutely nowhere to turn? For every man must have somewhere to go.",Fyodor Dostoyevsky,Crime and Punishment,4,Love,,,2016-01-01
Q034,"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; who errs, who comes short again and again. It is he who at the best knows in the end the triumph of high achievement, and who at the worst, if he fails, at least fails while daring greatly.",Theodore Roosevelt,Daring Greatly,5,Courage,,,2016-01-01
Q035,"Until we can receive with an open heart, we are never really giving with an open heart. When we attach judgment to receiving help, we knowingly or unknowingly attach judgment to giving help.",Brene Brown,Daring Greatly,4,Gratitude,,,2016-01-01
Q036,There's a crack in everything. That's how the light gets in.,Brene Brown,Daring Greatly,4,Experience,,,2016-01-01
Q037,"We either own our stories (even the messy ones), or we stand outside of them--denying our vulnerabilities and imperfections, orphaning the parts of us that don't fit in with who/what we think we're supposed to be, and hustling for other people's approval of our worthiness.",Brene Brown,Daring Greatly,4,Confidence,,,2016-01-01
Q038,"Vulnerability is not oversharing or purging; rather, it is sharing our feelings and experiences with people who have earned the right to hear them.",Brene Brown,Daring Greatly,4,Conversation,,,2016-01-01
Q039,"Vulnerability is the birthplace of love, belonging, joy, courage, empathy, and creativity. It is the source of hope, empathy, accountability, and authenticity. If we want greater clarity in our purpose or deeper and more meaningful spiritual lives, vulnerability is the path.",Brene Brown,Daring Greatly,4,Purpose,,,2016-01-01
Q040,"Connection is why we're here. We are hardwired to connect with others, it's what gives purpose and meaning to our lives, and without it there is suffering.",Brene Brown,Daring Greatly,4,Connection,,,2016-01-01
Q041,"When we stop caring about what people think, we lose our capacity for connection. When we become defined by what people think, we lose our willingness to be vulnerable. If we dismiss all the criticism, we lose out on important feedback, but if we subject ourselves to the hatefulness, our spirits get crushed. It's a tightrope, shame resilience is the balance bar, and the safety net below is the one or two people in our lives who can help us reality-check the criticism and cynicism.",Brene Brown,Daring Greatly,5,Connection,,,2016-01-01
